mangrove_ha,pond_ha,n_mangrove_patches,n_remnant_patches,remnant_mangrove_ha,pond_with_nearby_mangrove_ha,median_remnant_pond_frac,max_patch_ha,min_pond_frac,high_pond_frac,max_enclosed_ha,country,year,source_tif,pixel_m
3217282.56,834854.4,19213,2361,70341.12,158791.68,0.75,40.0,0.45,0.65,120.0,Indonesia,2022,../outputs/agb_stability/shrimppond/_extracted/indonesia_landcover_change_maps_1999_2014_2018_2020_2022_2024/indonesia/Indonesia_Landcover_2022_v2exp.tif,480.0
192009.6,849363.84,6840,4748,43597.439999999995,95299.2,0.8888888888888888,40.0,0.45,0.65,120.0,Vietnam,2022,../outputs/agb_stability/shrimppond/_extracted/vietnam_landcover_change_maps_1999_2014_2018_2020_2022_2024/vietnam/Vietnam_Landcover_2022_v2exp.tif,240.0
263226.24,261344.16,8274,3578,15580.8,22068.0,0.75,40.0,0.45,0.65,120.0,Thailand,2022,../outputs/agb_stability/shrimppond/_extracted/thailand_landcover_change_maps_1999_2014_2018_2020_2022_2024/thailand/Thailand_Landcover_2022_v1exp.tif,120.0
151117.56,193387.32,6013,2896,11070.359999999999,8451.0,0.7063894523326573,40.0,0.45,0.65,120.0,Ecuador,2022,../outputs/agb_stability/shrimppond/_extracted/ecuador_landcover_change_maps_1999_2014_2018_2020_2022_2024/ecuador/Ecuador_Landcover_2022_v1exp.tif,60.0
261659.52,151407.36,10654,957,8421.119999999999,16035.84,0.5714285714285714,40.0,0.45,0.65,120.0,Philippines,2022,../outputs/agb_stability/shrimppond/_extracted/Philippines_Change_Persistence_Maps_1999_to_2022/Philippines_Landcover_2022_v1exp.tif,240.0
403482.24,469509.12,5584,380,3231.3599999999997,6007.679999999999,0.5,40.0,0.45,0.65,120.0,India,2022,../outputs/agb_stability/shrimppond/_extracted/india_landcover_change_maps_1999_2014_2018_2020_2022/india_landcover_2022_v1exp.tif,240.0
18639.36,1123395.8399999999,1152,287,2269.44,4383.36,0.5,40.0,0.45,0.65,120.0,China,2022,../outputs/agb_stability/shrimppond/_extracted/china_landcover_change_maps_1999_2014_2018_2020_2022/china_landcover_2022_v1exp.tif,240.0
539481.6,122895.36,3767,85,2165.7599999999998,4861.44,0.5,40.0,0.45,0.65,120.0,Mexico,2022,../outputs/agb_stability/shrimppond/_extracted/mexico_landcover_change_maps_1999_2014_2018_2020_2022/Mexico_Landcover_2022_v1exp.tif,480.0
46328.4,24660.0,2405,292,1146.6,816.48,0.6666666666666666,40.0,0.45,0.65,120.0,Honduras,2022,../outputs/agb_stability/shrimppond/_extracted/honduras_landcover_change_maps_1999_2014_2018_2020_2022/honduras_landcover_2022_v1exp.tif,60.0
603504.0,17775.36,5727,139,1105.92,1889.28,0.5,40.0,0.45,0.65,120.0,Malaysia,2022,../outputs/agb_stability/shrimppond/_extracted/Malaysia_Landcover_Change_Maps_1999_2014_2018_2020_2022/malaysia_landcover_2022_v1exp.tif,240.0
636173.28,15622.56,38444,233,931.68,1271.52,0.5555555555555556,40.0,0.45,0.65,120.0,Myanmar,2022,../outputs/agb_stability/shrimppond/_extracted/myanmar_landcover_change_maps_1999_2014_2018_2020_2022_2024/myanmar/Myanmar_Landcover_2022_v1exp.tif,120.0
53512.56,20984.76,2069,120,760.3199999999999,420.12,0.5833333333333334,40.0,0.45,0.65,120.0,Nicaragua,2022,../outputs/agb_stability/shrimppond/_extracted/nicaragua_landcover_change_maps_1999_2014_2018_2020_2022/Nicaragua_Landcover_2022_v1exp.tif,60.0
1071037.44,25113.6,5177,30,760.3199999999999,1405.44,0.5,40.0,0.45,0.65,120.0,Brazil,2022,../outputs/agb_stability/shrimppond/_extracted/brazil_landcover_change_maps_1999_2014_2018_2020_2022/brazil_landcover_2022_v1exp.tif,480.0
15388.92,5115.96,2960,152,311.76,296.28,0.5400641025641025,40.0,0.45,0.65,120.0,Sri Lanka,2022,../outputs/agb_stability/shrimppond/_extracted/SriLanka_Landcover_Change_Maps_1999_2014_2018_2020_2022/sri_lanka_landcover_2022_v1exp.tif,60.0
451449.72,215840.52,1709,71,165.6,136.44,0.5,40.0,0.45,0.65,120.0,Bangladesh,2022,../outputs/agb_stability/shrimppond/_extracted/Bangladesh_Landcover_Change_Maps_1999_2014_2018_2020_2022/Bangladesh_Landcover_2022_v1exp.tif,60.0
33995.25,906.75,483,6,44.91,30.24,0.5416666666666666,40.0,0.45,0.65,120.0,El Salvador,2022,../outputs/agb_stability/shrimppond/_extracted/elsalvador_landcover_change_maps_1999_2014_2018_2020_2022/el_salvador_landcover_2022_v1exp.tif,30.0
46335.509999999995,1844.46,3379,24,22.32,26.279999999999998,0.4916666666666667,40.0,0.45,0.65,120.0,Cambodia,2022,../outputs/agb_stability/shrimppond/_extracted/Cambodia_Landcover_Change_Maps_1999_2014_2018_2020_2022/Cambodia_Landcover_2022_v1exp.tif,30.0
